brand,year,engine_size,fuel_type,transmission,mileage,condition,price,model
Honda,2015,5.0,Diesel,Automatic,119107,New,28379.42,CR-V
Toyota,2004,5.1,Electric,Automatic,22462,Used,69523.76,Camry
Honda,2008,5.7,Hybrid,Automatic,279965,New,87958.17,Fit
Audi,2001,3.7,Diesel,Manual,92889,New,40422.68,A4
Honda,2017,2.0,Hybrid,Automatic,88952,Used,84946.15,CR-V
BMW,2005,4.1,Petrol,Manual,193596,Used,45952.79,X3
BMW,2008,4.7,Diesel,Manual,177505,Used,43126.91,5 Series
Tesla,2000,4.7,Electric,Manual,221576,Like New,7690.81,Model X
BMW,2008,3.6,Electric,Manual,219393,Like New,71051.5,5 Series
Tesla,2015,1.3,Hybrid,Manual,275455,New,81712.74,Model S
BMW,2012,2.9,Petrol,Manual,254084,Used,68037.91,X5
Audi,2008,5.6,Hybrid,Automatic,129466,New,19379.29,A3
Tesla,2020,3.9,Petrol,Manual,30531,New,14812.88,Model S
Ford,2012,3.7,Electric,Manual,14588,New,59421.58,Fiesta
Mercedes,2008,2.3,Hybrid,Manual,143452,New,43144.04,GLC
Toyota,2010,2.8,Electric,Automatic,173717,New,45764.29,RAV4
BMW,2003,5.5,Electric,Automatic,161929,Used,96941.02,X5
Honda,2001,4.3,Petrol,Manual,21711,Like New,73772.65,Fit
BMW,2005,4.9,Hybrid,Automatic,136169,Used,44119.84,5 Series
Honda,2013,3.3,Hybrid,Manual,159465,Used,6814.43,CR-V
Mercedes,2003,4.2,Electric,Automatic,284220,Used,8239.09,GLC
Mercedes,2005,2.2,Electric,Manual,160389,Like New,70056.35,E-Class
Mercedes,2018,4.5,Petrol,Automatic,58480,Like New,84585.18,GLC
Honda,2005,3.1,Diesel,Automatic,269188,Like New,72231.75,Fit
BMW,2001,3.2,Diesel,Automatic,250309,Used,43559.34,X3
Mercedes,2017,4.2,Electric,Manual,55486,Like New,7957.9,C-Class
Audi,2012,5.7,Diesel,Manual,55162,New,96903.15,A3
Tesla,2008,1.3,Diesel,Manual,210359,Like New,98701.93,Model S
Honda,2022,5.1,Diesel,Automatic,29882,Used,57189.63,CR-V
Honda,2018,2.5,Diesel,Automatic,54078,Used,11713.74,CR-V
BMW,2012,3.2,Electric,Manual,238680,New,56392.39,3 Series
Honda,2010,1.1,Diesel,Automatic,108730,Like New,89772.15,CR-V
Honda,2000,2.5,Diesel,Manual,174898,Like New,69598.62,Fit
Mercedes,2023,3.5,Petrol,Manual,98938,New,73398.98,C-Class
BMW,2021,1.3,Electric,Manual,118319,Used,13072.13,5 Series
Mercedes,2006,3.5,Hybrid,Manual,32543,Used,15118.61,E-Class
Tesla,2020,5.6,Hybrid,Automatic,124279,Like New,17098.13,Model 3
Tesla,2014,1.5,Petrol,Automatic,29362,Like New,90915.8,Model 3
Mercedes,2000,4.8,Petrol,Automatic,158818,Like New,54955.72,GLA
Tesla,2011,3.0,Electric,Manual,242721,Like New,80199.63,Model S
BMW,2006,4.3,Hybrid,Automatic,165229,Like New,15952.67,X5
Toyota,2014,2.3,Diesel,Manual,142394,Used,93126.06,Camry
Mercedes,2020,1.8,Petrol,Manual,69812,Used,83008.5,GLC
Audi,2018,1.8,Hybrid,Manual,296161,Used,26352.59,A4
Audi,2000,1.4,Electric,Manual,228208,Used,88047.31,Q7
Honda,2016,1.9,Diesel,Manual,279773,New,30027.06,Accord
Tesla,2016,4.3,Electric,Manual,128614,Used,24507.29,Model 3
Audi,2002,5.4,Petrol,Automatic,96950,New,30103.17,Q5
Honda,2011,5.1,Hybrid,Automatic,174942,Used,91445.73,Accord
Toyota,2005,4.4,Hybrid,Automatic,64829,Like New,91981.24,Camry
BMW,2010,1.6,Hybrid,Automatic,245602,Like New,36254.6,X5
BMW,2002,2.4,Hybrid,Manual,10588,Like New,72016.25,3 Series
BMW,2007,2.5,Diesel,Manual,168217,New,69195.8,5 Series
Audi,2013,2.2,Diesel,Automatic,272743,Used,81623.45,A3
Toyota,2013,3.6,Electric,Automatic,208502,Used,33168.4,Camry
Audi,2009,3.7,Diesel,Automatic,134011,New,53463.16,Q5
Tesla,2001,2.8,Petrol,Automatic,252856,New,68429.03,Model 3
Audi,2013,2.8,Petrol,Automatic,284293,New,7494.4,Q5
Toyota,2008,5.1,Hybrid,Automatic,197639,New,40790.18,Camry
Toyota,2002,4.9,Petrol,Automatic,141280,New,71109.39,Prius
Tesla,2020,2.5,Electric,Automatic,197170,Like New,28996.53,Model S
Toyota,2007,5.6,Diesel,Manual,180564,Used,95981.89,Corolla
Toyota,2015,5.8,Diesel,Manual,20951,New,7865.33,Corolla
BMW,2001,2.6,Diesel,Manual,179992,Like New,96018.28,X3
Tesla,2005,2.8,Petrol,Manual,46766,New,25592.57,Model X
Ford,2020,3.5,Diesel,Automatic,159423,Like New,9638.09,Mustang
Ford,2011,5.7,Hybrid,Manual,87122,New,32785.03,Explorer
Toyota,2004,5.4,Hybrid,Automatic,271452,Used,79696.82,Corolla
Ford,2001,1.5,Hybrid,Manual,83211,New,76481.99,Explorer
Ford,2015,3.0,Petrol,Automatic,126534,New,24839.84,Focus
Toyota,2004,3.8,Diesel,Automatic,8720,Used,23695.06,RAV4
Ford,2014,3.5,Petrol,Manual,79993,Used,66045.09,Focus
Audi,2011,2.0,Diesel,Manual,219973,New,48517.86,Q5
Honda,2003,5.3,Electric,Automatic,25905,Used,80267.55,Accord
Tesla,2014,4.4,Electric,Automatic,204580,Used,7292.61,Model 3
Honda,2010,5.2,Petrol,Automatic,50385,Like New,62989.13,Accord
Toyota,2015,5.3,Hybrid,Manual,30653,Used,74413.84,Corolla
BMW,2022,4.7,Petrol,Manual,91865,Used,99371.68,3 Series
Tesla,2005,3.2,Hybrid,Automatic,125813,New,69484.26,Model 3
Toyota,2013,4.1,Diesel,Manual,145871,New,27025.29,Prius
BMW,2017,1.8,Hybrid,Automatic,191175,Like New,15277.69,5 Series
Honda,2011,4.4,Hybrid,Manual,248535,New,65887.09,Fit
Toyota,2010,1.9,Diesel,Manual,15052,Used,54702.39,Camry
Tesla,2012,4.5,Electric,Manual,137116,Used,90418.8,Model Y
Tesla,2020,2.1,Diesel,Manual,150943,Used,74027.76,Model 3
Mercedes,2022,1.6,Petrol,Manual,220375,New,53425.53,E-Class
Audi,2010,1.8,Petrol,Automatic,21381,Used,43341.0,Q7
Ford,2022,1.0,Petrol,Automatic,148346,Used,43415.6,Focus
BMW,2015,4.6,Petrol,Manual,243234,Like New,26498.91,3 Series
Mercedes,2014,4.7,Petrol,Automatic,256017,Like New,6645.97,GLA
Ford,2020,3.6,Electric,Automatic,235020,Like New,59616.51,Mustang
Ford,2014,1.8,Electric,Manual,49892,New,25179.4,Mustang
Toyota,2003,1.4,Hybrid,Automatic,181593,Used,24791.06,Camry
Ford,2010,1.1,Petrol,Manual,214992,Used,16911.22,Mustang
Audi,2018,1.8,Diesel,Automatic,280064,Used,23011.57,A3
Tesla,2014,5.5,Petrol,Automatic,278846,Like New,8019.97,Model 3
Mercedes,2003,2.2,Electric,Automatic,256216,Used,69051.99,C-Class
Ford,2020,2.8,Petrol,Automatic,264038,Used,43132.73,Fiesta
Toyota,2012,1.5,Electric,Automatic,293129,Used,58344.84,Camry
Audi,2021,2.1,Hybrid,Automatic,159359,Used,65510.97,A4
Honda,2018,3.6,Hybrid,Automatic,258771,Used,97386.03,Civic
Tesla,2001,4.0,Hybrid,Manual,125702,New,11485.26,Model Y
Tesla,2013,2.2,Electric,Manual,73527,Used,44702.18,Model 3
Mercedes,2003,1.3,Petrol,Manual,146511,New,28360.3,E-Class
Tesla,2015,3.0,Petrol,Manual,225692,Used,50287.63,Model Y
Ford,2020,2.2,Diesel,Automatic,158731,New,92444.87,Explorer
Toyota,2019,2.1,Electric,Automatic,287120,Used,73778.51,Corolla
Tesla,2013,5.8,Diesel,Automatic,235311,Used,67885.21,Model Y
Tesla,2014,4.1,Hybrid,Manual,198937,Used,46918.36,Model S
Honda,2002,3.8,Petrol,Manual,199378,Used,68755.69,CR-V
Honda,2007,3.1,Electric,Manual,56697,Like New,8075.66,CR-V
BMW,2015,3.1,Diesel,Automatic,70382,Used,60692.67,X3
Audi,2009,3.7,Diesel,Manual,278795,New,57608.77,A3
Ford,2003,4.5,Diesel,Automatic,180116,Like New,37930.84,Fiesta
Tesla,2017,4.5,Petrol,Manual,14633,Like New,24143.84,Model 3
Tesla,2001,1.9,Petrol,Automatic,79164,Used,81717.78,Model S
Toyota,2016,3.5,Petrol,Manual,262713,New,10116.9,Prius
BMW,2012,3.1,Electric,Automatic,123425,New,11618.92,X5
Audi,2003,5.4,Petrol,Manual,250220,Like New,46849.57,Q7
BMW,2010,4.2,Electric,Manual,295182,New,28992.68,5 Series
Mercedes,2006,3.7,Diesel,Automatic,180160,Used,75817.98,GLA
Audi,2011,1.6,Diesel,Automatic,204249,Used,65248.06,Q7
Tesla,2009,4.0,Hybrid,Manual,205538,Used,78390.81,Model Y
Tesla,2006,1.6,Petrol,Automatic,197865,Used,35844.5,Model X
Audi,2012,2.7,Diesel,Manual,201466,Used,75349.3,A4
Tesla,2006,1.7,Petrol,Automatic,187223,Like New,86918.81,Model Y
Ford,2023,4.5,Electric,Manual,111174,Used,37801.08,Fiesta
Audi,2016,2.0,Diesel,Automatic,137980,Used,37290.1,Q5
BMW,2009,3.0,Petrol,Manual,68447,Like New,90495.38,X3
Audi,2009,5.5,Diesel,Manual,205599,Like New,9730.07,Q5
Tesla,2023,2.0,Diesel,Manual,226301,Like New,38267.99,Model X
Ford,2003,3.5,Petrol,Automatic,279778,New,16273.89,Fiesta
Ford,2019,3.1,Diesel,Manual,286705,New,7753.16,Fiesta
Mercedes,2003,1.1,Diesel,Automatic,55063,Used,15722.59,GLA
BMW,2021,5.0,Diesel,Automatic,288065,Used,45968.35,X3
Honda,2006,1.3,Diesel,Automatic,19340,Used,70260.83,Accord
Honda,2021,3.4,Electric,Manual,62781,New,32481.83,CR-V
Audi,2000,3.8,Diesel,Automatic,277045,Used,85719.15,Q5
Mercedes,2011,4.1,Hybrid,Automatic,10638,Used,46573.48,GLA
Toyota,2023,4.4,Diesel,Automatic,217986,New,96981.66,Prius
Audi,2012,2.3,Petrol,Manual,221668,Like New,95644.79,A3
Mercedes,2009,1.0,Hybrid,Automatic,294786,New,78461.24,GLC
BMW,2014,4.6,Electric,Automatic,25378,Used,93578.52,3 Series
BMW,2012,3.7,Hybrid,Automatic,118171,New,72174.13,X3
BMW,2022,5.2,Hybrid,Automatic,214801,Like New,90080.4,X3
BMW,2021,5.1,Hybrid,Manual,64377,Like New,27465.0,3 Series
BMW,2021,5.2,Petrol,Manual,260339,Like New,37814.92,X5
Mercedes,2020,3.4,Petrol,Automatic,54691,Like New,76528.36,C-Class
Mercedes,2021,2.7,Petrol,Automatic,91782,Like New,45333.32,E-Class
Ford,2008,5.0,Electric,Automatic,259896,Like New,84546.11,Focus
Honda,2008,3.3,Petrol,Automatic,78343,Used,88375.69,Fit
Tesla,2014,1.9,Petrol,Manual,121399,Used,33474.3,Model S
BMW,2009,5.3,Hybrid,Manual,31357,New,83227.83,5 Series
Toyota,2023,5.4,Petrol,Manual,294458,Used,19655.11,Corolla
Tesla,2009,3.3,Diesel,Manual,70283,Like New,36748.69,Model Y
Mercedes,2007,1.4,Petrol,Automatic,59567,Used,54206.67,C-Class
Toyota,2023,2.9,Electric,Automatic,237778,New,26512.16,Prius
Toyota,2015,5.0,Electric,Manual,141758,Like New,60030.44,Prius
Toyota,2016,5.5,Diesel,Manual,61606,Used,59976.03,RAV4
Ford,2004,2.0,Electric,Automatic,281035,Used,24655.78,Fiesta
Mercedes,2003,1.3,Electric,Automatic,101732,New,80585.93,GLA
Toyota,2017,5.4,Hybrid,Automatic,191791,Like New,65006.23,RAV4
BMW,2023,2.9,Diesel,Automatic,292021,New,35187.25,X3
Audi,2018,3.7,Hybrid,Automatic,249465,Like New,27057.55,A4
Toyota,2003,5.8,Hybrid,Manual,224589,Like New,88481.26,Corolla
Ford,2006,1.3,Petrol,Manual,14026,Used,84395.51,Fiesta
Tesla,2009,4.2,Diesel,Automatic,282566,New,26827.26,Model Y
Mercedes,2017,1.4,Petrol,Automatic,295625,New,8382.5,GLC
Ford,2018,2.9,Petrol,Manual,109384,New,81430.6,Explorer
Toyota,2003,5.0,Hybrid,Automatic,252771,Like New,63473.31,Corolla
Mercedes,2009,3.2,Electric,Manual,58031,New,14583.79,C-Class
Audi,2000,6.0,Diesel,Manual,68232,Like New,60799.03,A3
Toyota,2022,3.8,Electric,Manual,143084,New,47957.36,Camry
Ford,2017,2.6,Hybrid,Manual,236503,New,78582.28,Focus
Honda,2004,2.1,Hybrid,Automatic,292104,Used,24863.06,Fit
BMW,2014,2.8,Hybrid,Automatic,87695,New,48049.89,X3
Tesla,2016,2.9,Hybrid,Manual,130066,Used,19843.19,Model X
Ford,2002,1.3,Hybrid,Automatic,138982,Used,95965.09,Fiesta
Mercedes,2011,2.8,Hybrid,Automatic,264837,Like New,78980.12,GLA
Toyota,2001,3.3,Electric,Automatic,115313,New,74988.63,Corolla
BMW,2000,4.6,Petrol,Automatic,28810,New,70569.63,3 Series
Toyota,2022,4.3,Electric,Manual,20092,New,45216.96,Prius
Mercedes,2020,4.5,Diesel,Automatic,58105,Used,92711.83,C-Class
Toyota,2016,1.0,Electric,Manual,161577,New,11927.12,RAV4
Honda,2021,2.1,Hybrid,Manual,204300,Like New,81309.61,Civic
BMW,2015,4.3,Electric,Automatic,290699,Like New,25447.11,3 Series
BMW,2004,3.4,Petrol,Manual,71934,New,35782.66,X3
Mercedes,2014,1.0,Diesel,Automatic,72788,Used,54345.82,GLA
Tesla,2002,5.0,Electric,Automatic,280083,Like New,79352.23,Model S
Honda,2006,4.9,Petrol,Manual,155223,Like New,84660.82,CR-V
Ford,2010,3.7,Electric,Automatic,128068,Used,60454.56,Explorer
Toyota,2009,1.3,Diesel,Manual,36,Like New,43288.37,Camry
Audi,2008,4.8,Electric,Manual,39051,Used,94917.73,Q5
Toyota,2013,3.9,Hybrid,Automatic,80738,Like New,28419.52,Camry
Toyota,2012,4.9,Electric,Automatic,60071,Used,81293.98,Camry
Ford,2001,4.8,Petrol,Automatic,130613,Like New,63144.71,Focus
Toyota,2002,5.0,Electric,Manual,73601,New,40805.03,Camry
Honda,2006,3.6,Petrol,Automatic,29873,Like New,5129.96,Civic
Honda,2020,1.7,Diesel,Manual,167720,Like New,47426.93,Fit
BMW,2017,4.4,Electric,Manual,71468,New,31288.4,X3
Mercedes,2002,4.1,Diesel,Automatic,288614,New,14912.93,E-Class
Tesla,2009,4.7,Diesel,Automatic,196201,New,12140.06,Model 3
Audi,2021,1.8,Electric,Automatic,8328,New,38018.04,A3
Toyota,2006,2.0,Petrol,Manual,137405,Used,63401.95,Camry
Toyota,2008,5.5,Diesel,Automatic,251519,Used,84564.33,Prius
Ford,2016,4.7,Diesel,Manual,121173,Like New,22438.51,Focus
Mercedes,2010,5.5,Electric,Automatic,46638,Like New,45341.18,GLC
Honda,2006,4.8,Electric,Automatic,273412,Like New,42235.83,Accord
Audi,2023,4.0,Electric,Manual,201675,Used,53772.43,A4
BMW,2013,4.3,Electric,Manual,113920,Like New,81910.79,5 Series
Honda,2018,5.4,Electric,Automatic,171813,Like New,57596.3,CR-V
Mercedes,2003,3.9,Hybrid,Automatic,7887,Used,85432.22,E-Class
Tesla,2005,4.2,Electric,Automatic,228978,Like New,54262.42,Model S
BMW,2009,1.8,Petrol,Automatic,24918,Used,62365.5,5 Series
Tesla,2006,3.4,Diesel,Automatic,297641,Used,46551.41,Model X
Ford,2012,4.6,Petrol,Manual,192081,New,83194.08,Fiesta
Ford,2013,2.4,Petrol,Manual,274073,New,92763.58,Explorer
Toyota,2003,2.0,Hybrid,Manual,102201,Used,65718.75,Corolla
Tesla,2007,2.6,Electric,Manual,210171,Used,82974.33,Model X
Mercedes,2004,2.2,Diesel,Automatic,290690,New,10605.32,E-Class
Audi,2000,2.1,Petrol,Manual,209496,Like New,91080.62,Q7
BMW,2003,3.1,Electric,Manual,168410,Like New,22947.88,5 Series
Honda,2002,5.5,Electric,Manual,82494,Like New,29369.44,CR-V
Mercedes,2008,3.5,Hybrid,Automatic,215859,Used,10066.36,GLA
Mercedes,2007,1.9,Hybrid,Manual,233853,New,96713.01,GLA
Ford,2000,1.4,Hybrid,Automatic,128279,Like New,85941.03,Fiesta
Tesla,2005,4.5,Diesel,Manual,81991,New,91752.54,Model S
Toyota,2008,2.9,Petrol,Automatic,290157,New,85485.54,Camry
Toyota,2006,5.1,Hybrid,Manual,52132,Used,50555.4,Camry
BMW,2003,4.3,Hybrid,Automatic,255069,Like New,92787.78,3 Series
Ford,2012,5.0,Hybrid,Manual,159156,New,97099.92,Explorer
Mercedes,2016,2.4,Petrol,Automatic,152215,Used,52743.86,E-Class
Audi,2001,4.5,Petrol,Automatic,91627,Used,21684.35,A4
Ford,2004,2.3,Hybrid,Manual,122772,Used,67569.14,Focus
BMW,2011,5.7,Hybrid,Automatic,229415,Like New,97666.64,5 Series
BMW,2020,4.2,Electric,Automatic,141294,Like New,87853.95,X5
Ford,2007,2.6,Hybrid,Manual,259013,Used,86872.44,Focus
BMW,2005,2.3,Diesel,Manual,16116,Like New,93712.71,5 Series
Ford,2007,2.0,Diesel,Automatic,182124,Like New,89925.46,Mustang
Honda,2017,4.5,Hybrid,Manual,51369,New,78746.76,Accord
Ford,2002,2.1,Petrol,Manual,179889,Used,73235.92,Explorer
Tesla,2021,4.0,Electric,Manual,233982,Used,30152.88,Model 3
Ford,2011,2.3,Petrol,Automatic,214275,Like New,64027.3,Explorer
BMW,2002,4.3,Hybrid,Automatic,205383,Used,54541.42,X3
Tesla,2021,5.1,Diesel,Automatic,291799,Used,86884.69,Model Y
BMW,2005,4.9,Electric,Automatic,188874,Used,51712.69,X5
Toyota,2001,4.8,Petrol,Automatic,47632,Like New,17135.56,Prius
Toyota,2022,1.9,Petrol,Automatic,211284,Like New,5472.39,Prius
Tesla,2011,1.4,Hybrid,Automatic,161848,Like New,69397.95,Model S
Honda,2001,4.5,Electric,Manual,191082,New,57241.3,Civic
Toyota,2005,2.8,Diesel,Automatic,213807,Used,36441.48,RAV4
Ford,2016,3.2,Hybrid,Automatic,196523,New,21052.35,Focus
BMW,2002,1.2,Electric,Manual,179884,Like New,49337.96,5 Series
Toyota,2001,2.3,Petrol,Manual,281039,New,14527.21,Corolla
Toyota,2022,1.2,Hybrid,Manual,235892,Used,36930.31,Corolla
Honda,2019,5.4,Petrol,Automatic,213408,Used,41025.13,Fit
Tesla,2007,2.2,Petrol,Manual,242718,Like New,49233.78,Model X
Tesla,2021,3.8,Hybrid,Automatic,192879,Like New,49328.97,Model X
Mercedes,2011,1.2,Hybrid,Automatic,23086,New,29415.54,C-Class
Honda,2003,4.3,Hybrid,Automatic,85637,Like New,85770.04,Fit
Ford,2004,2.6,Hybrid,Manual,158279,New,38776.63,Fiesta
Tesla,2012,5.5,Hybrid,Manual,151969,Used,26810.79,Model S
BMW,2014,5.4,Petrol,Automatic,63083,Used,21701.94,X3
Honda,2022,2.6,Diesel,Automatic,95028,Used,35644.95,Accord
Toyota,2015,5.5,Diesel,Automatic,97551,Used,11417.52,RAV4
BMW,2009,6.0,Hybrid,Manual,138355,Used,8126.21,5 Series
BMW,2022,5.1,Petrol,Automatic,94024,New,62488.51,5 Series
Toyota,2015,5.2,Diesel,Manual,262399,Used,63818.98,RAV4
Honda,2011,2.2,Diesel,Automatic,207627,New,55310.88,Civic
Toyota,2016,3.9,Diesel,Manual,15487,Used,77417.09,Corolla
Mercedes,2015,1.3,Petrol,Automatic,19346,New,8719.3,GLC
BMW,2011,1.5,Hybrid,Manual,297194,New,93917.45,5 Series
Audi,2007,6.0,Hybrid,Manual,270888,New,14031.19,Q7
Audi,2019,2.6,Hybrid,Manual,61596,Like New,69032.18,A4
Ford,2002,4.7,Electric,Manual,214469,New,17672.68,Mustang
Tesla,2015,5.0,Electric,Manual,177175,New,88591.02,Model Y
Toyota,2012,5.3,Electric,Manual,153048,Used,53517.76,Prius
Toyota,2022,6.0,Petrol,Automatic,6277,New,12817.89,RAV4
Ford,2018,2.2,Diesel,Automatic,133332,New,63588.79,Fiesta
Ford,2007,1.2,Diesel,Automatic,240515,Like New,5865.44,Fiesta
Ford,2021,3.1,Petrol,Automatic,260577,Used,78722.11,Mustang
BMW,2004,1.7,Petrol,Manual,196955,Like New,66805.57,X5
Mercedes,2019,1.1,Hybrid,Automatic,286885,Like New,25199.35,E-Class
Toyota,2007,2.8,Hybrid,Manual,299355,Like New,40601.34,Camry
BMW,2023,4.9,Electric,Manual,240464,New,5741.64,X5
Ford,2011,3.8,Electric,Manual,258445,Like New,70899.96,Focus
Toyota,2000,2.6,Petrol,Automatic,269013,Like New,35653.47,Corolla
BMW,2020,4.3,Electric,Manual,94515,Used,59300.95,3 Series
Mercedes,2019,2.2,Diesel,Automatic,150494,Used,95889.12,GLC
BMW,2005,1.1,Petrol,Automatic,166685,Used,33449.34,X5
Mercedes,2021,4.8,Petrol,Automatic,188088,Used,99072.6,C-Class
Ford,2017,4.1,Diesel,Automatic,60110,Like New,65109.2,Focus
Mercedes,2007,4.8,Hybrid,Automatic,219601,Used,27998.42,GLA
Toyota,2006,1.2,Hybrid,Manual,208994,New,46493.9,Camry
Ford,2000,5.2,Diesel,Manual,296177,Like New,75343.05,Mustang
Toyota,2020,4.1,Diesel,Automatic,260705,Used,47415.4,RAV4
Audi,2015,3.8,Electric,Manual,12938,Like New,11508.22,A4
Honda,2011,4.1,Petrol,Automatic,130842,Used,21017.35,Accord
Mercedes,2005,5.3,Electric,Manual,264418,Like New,80173.29,C-Class
Honda,2019,3.9,Diesel,Manual,150033,Used,66595.44,Civic
Honda,2001,3.9,Electric,Manual,20044,New,59133.42,Accord
Mercedes,2013,6.0,Diesel,Manual,99372,Used,20924.09,E-Class
Ford,2003,4.8,Electric,Manual,276850,Like New,84586.96,Fiesta
Audi,2000,3.2,Electric,Manual,137046,Like New,96270.31,Q7
Toyota,2022,4.5,Hybrid,Manual,21213,New,8884.27,Prius
BMW,2017,2.9,Diesel,Manual,1950,Like New,12413.03,X3
Toyota,2012,2.1,Electric,Manual,254043,New,89048.83,RAV4
BMW,2001,4.0,Petrol,Manual,216085,Like New,82477.46,X5
Toyota,2008,5.6,Electric,Manual,272555,Like New,63703.77,Prius
Mercedes,2020,5.6,Electric,Manual,148843,New,94771.69,GLA
Audi,2001,2.7,Petrol,Manual,297197,Like New,66410.9,Q5
BMW,2008,3.6,Diesel,Automatic,248966,Like New,25518.6,3 Series
Tesla,2000,2.1,Hybrid,Manual,138117,New,74221.02,Model X
Ford,2010,6.0,Hybrid,Manual,29714,Used,66342.48,Explorer
Toyota,2002,5.9,Hybrid,Manual,165458,New,98645.75,RAV4
Toyota,2019,4.2,Petrol,Manual,270706,Like New,25320.09,Corolla
BMW,2022,5.0,Electric,Manual,12026,Used,61799.07,3 Series
Ford,2003,4.6,Diesel,Manual,106147,Used,79115.91,Fiesta
Ford,2017,4.0,Electric,Automatic,31589,Used,37203.39,Fiesta
Mercedes,2022,1.3,Hybrid,Automatic,108199,New,41069.56,C-Class
